Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Item_Outlet_Sales
12.8,Low Fat,0.022940349,Fruits and Vegetables,116.5492,0,Tier 2,Supermarket Type1,FD,-82.86618
19.25,Non-Edible,0.06737681,Household,32.09,0,Tier 1,Grocery Store,NC,626.4032
9.5,Regular,0.022148582000000003,Meat,194.9452,1,Tier 3,Supermarket Type2,FD,-23.91515
12.5,Non-Edible,0.006792706999999999,Household,42.4112,1,Tier 3,Supermarket Type2,NC,627.32446
17.85,Regular,0.024870035,Fruits and Vegetables,217.7508,1,Tier 3,Supermarket Type3,FD,-40.318035
5.78,Low Fat,0.096931426,Breads,164.2552,2,Tier 2,Supermarket Type1,FD,829.8961
10.0,Regular,0.008693632,Meat,205.09799999999998,1,Tier 3,Supermarket Type3,FD,-22.342669
13.224769381746881,Low Fat,0.078961284,Canned,80.3644,1,Tier 3,Supermarket Type3,FD,677.8618
10.395,Low Fat,0.050479462999999995,Baking Goods,114.0176,2,Tier 3,Grocery Store,FD,29.38472
18.35,Non-Edible,0.08948591800000001,Household,192.1504,2,Tier 2,Supermarket Type1,NC,589.739
12.987879554655919,Non-Edible,0.01594238,Household,103.3964,1,Tier 3,Supermarket Type3,NC,626.4032
21.1,Non-Edible,0.029127115,Household,143.3786,1,Tier 3,Supermarket Type2,NC,627.32446
19.75,Low Fat,0.06923642099999999,Fruits and Vegetables,116.6466,2,Tier 3,Grocery Store,FD,11.409352
8.43,Non-Edible,0.17869996100000002,Household,173.9422,2,Tier 2,Supermarket Type1,NC,589.739
15.35,Non-Edible,0.015740089,Others,144.847,1,Tier 3,Supermarket Type2,NC,627.32446
6.71,Low Fat,0.059565107,Breads,217.2166,2,Tier 3,Grocery Store,FD,880.99164
10.195,Low Fat,0.126277921,Canned,112.1886,2,Tier 3,Supermarket Type1,FD,648.098
11.65,Low Fat,0.291322397,Dairy,55.8298,2,Tier 3,Grocery Store,FD,36.94534
12.85,Non-Edible,0.053433907999999995,Health and Hygiene,183.2608,0,Tier 2,Supermarket Type1,NC,578.3331
12.15,Low Fat,0.131155007,Frozen Foods,248.146,0,Tier 2,Supermarket Type1,FD,-64.890816
18.25,Low Fat,0.07519492900000001,Snack Foods,124.9046,0,Tier 1,Supermarket Type1,FD,-64.890816
5.98,Low Fat,0.075557965,Hard Drinks,57.0614,0,Tier 1,Supermarket Type1,DR,-65.74574
12.65,Low Fat,0.122928415,Meat,106.6938,2,Tier 3,Supermarket Type1,FD,-37.608574
13.1,Regular,0.044442342,Fruits and Vegetables,181.0318,2,Tier 2,Supermarket Type1,FD,-63.109657
20.7,Regular,0.100741569,Fruits and Vegetables,122.3388,2,Tier 2,Supermarket Type1,FD,-63.109657
12.15,Regular,0.039651481,Fruits and Vegetables,188.7188,1,Tier 3,Supermarket Type3,FD,-40.318035
7.855,Low Fat,0.011278673000000001,Canned,188.8188,1,Tier 1,Supermarket Type1,FD,623.1453
13.35,Regular,0.0,Snack Foods,179.666,2,Tier 3,Supermarket Type1,FD,-45.134285
17.25,Low Fat,0.10695266099999999,Frozen Foods,38.3822,2,Tier 3,Supermarket Type1,FD,-37.608574
15.1,Regular,0.129825457,Snack Foods,263.2568,0,Tier 1,Grocery Store,FD,-22.342669
10.395,Regular,0.029947408999999998,Dairy,90.1514,2,Tier 2,Supermarket Type1,FD,-45.134285
8.315,Regular,0.035565457,Baking Goods,144.8444,0,Tier 2,Supermarket Type1,FD,-108.00443
20.7,Regular,0.047760002,Dairy,214.9876,2,Tier 2,Supermarket Type1,FD,-45.134285
13.224769381746881,Non-Edible,0.015089146999999999,Household,141.347,1,Tier 3,Supermarket Type3,NC,626.4032
21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094,2,Tier 2,Supermarket Type1,FD,-55.58394
5.88,Low Fat,0.086632125,Frozen Foods,152.6998,2,Tier 2,Supermarket Type1,FD,-37.608574
17.7,Regular,0.064306056,Starchy Foods,90.3804,1,Tier 3,Supermarket Type3,FD,-58.947308
7.435,Low Fat,0.08493006,Starchy Foods,165.8158,2,Tier 2,Supermarket Type1,FD,130.91266
14.65,Non-Edible,0.072066634,Household,262.5594,0,Tier 1,Supermarket Type1,NC,578.3331
14.0,Low Fat,0.041256807,Starchy Foods,181.2634,2,Tier 3,Supermarket Type1,FD,130.91266
18.2,Non-Edible,0.058587558,Household,221.6456,2,Tier 2,Supermarket Type1,NC,589.739
17.6,Non-Edible,0.015711434,Household,180.0976,1,Tier 1,Supermarket Type1,NC,578.3331
15.85,Low Fat,0.032714163,Baking Goods,108.1938,1,Tier 3,Supermarket Type3,FD,-10.174335
7.71,Regular,0.047782552,Dairy,122.3756,1,Tier 3,Supermarket Type2,FD,-16.354525
7.81,Low Fat,0.067560171,Soft Drinks,245.2486,1,Tier 1,Supermarket Type1,DR,-62.24555
16.35,Non-Edible,0.029505077,Household,256.2646,2,Tier 2,Supermarket Type1,NC,589.739
13.0,Regular,0.045076104000000006,Soft Drinks,173.7054,2,Tier 2,Supermarket Type1,DR,-45.134285
12.85,Low Fat,0.29954415300000004,Snack Foods,124.8704,0,Tier 1,Grocery Store,FD,-10.174335
13.35,Low Fat,0.139452413,Frozen Foods,148.6392,0,Tier 1,Supermarket Type1,FD,-64.890816
19.0,Low Fat,0.24617825699999998,Hard Drinks,252.4382,0,Tier 1,Grocery Store,DR,-17.675705
16.1,Low Fat,0.065128984,Dairy,145.17600000000002,2,Tier 3,Supermarket Type1,FD,-37.608574
17.85,Low Fat,0.024816585,Soft Drinks,152.6998,0,Tier 2,Supermarket Type1,DR,-62.24555
5.34,Regular,0.005988175,Snack Foods,100.6358,1,Tier 3,Supermarket Type2,FD,-23.91515
5.51,Non-Edible,0.034473804,Health and Hygiene,97.3726,0,Tier 1,Supermarket Type1,NC,578.3331
6.61,Regular,0.028987582,Snack Foods,188.6898,2,Tier 3,Supermarket Type1,FD,-45.134285
6.38,Low Fat,0.032078604,Dairy,177.6344,2,Tier 2,Supermarket Type1,FD,-37.608574
16.1,Regular,0.013593151000000001,Fruits and Vegetables,108.9596,0,Tier 2,Supermarket Type1,FD,-125.97979
13.65,Low Fat,0.015911432,Breads,230.5668,0,Tier 1,Supermarket Type1,FD,816.61115
19.2,Regular,0.0055886009999999995,Starchy Foods,225.5062,0,Tier 1,Supermarket Type1,FD,-142.0952
8.71,Low Fat,0.139510771,Canned,46.2376,2,Tier 2,Supermarket Type1,FD,648.098
17.75,Regular,0.262504325,Dairy,242.2538,2,Tier 3,Grocery Store,FD,89.167206
19.35,Regular,0.0,Meat,165.7816,2,Tier 2,Supermarket Type1,FD,-45.134285
8.895,Low Fat,0.056783774,Dairy,223.1404,1,Tier 3,Supermarket Type3,FD,-2.6137035
19.6,Low Fat,0.041536279,Frozen Foods,107.7912,1,Tier 3,Supermarket Type3,FD,-10.174335
6.44,Low Fat,0.079538056,Breads,99.47,1,Tier 3,Supermarket Type2,FD,856.3512
12.6,Non-Edible,0.064057374,Health and Hygiene,122.1414,2,Tier 3,Supermarket Type1,NC,589.739
7.935,Low Fat,0.017156262,Dairy,48.135,0,Tier 1,Supermarket Type1,FD,-64.890816
18.25,Low Fat,0.054540967999999995,Snack Foods,140.4154,2,Tier 2,Supermarket Type1,FD,-37.608574
18.5,Regular,0.045648972999999995,Dairy,145.6102,1,Tier 3,Supermarket Type2,FD,-16.354525
6.035,Regular,0.065917194,Baking Goods,185.72400000000002,2,Tier 2,Supermarket Type1,FD,-45.134285
11.8,Non-Edible,0.058687359,Health and Hygiene,81.1618,2,Tier 3,Supermarket Type1,NC,589.739
6.26,Regular,0.009908113,Meat,151.1366,1,Tier 3,Supermarket Type2,FD,-23.91515
16.5,Regular,0.094395215,Baking Goods,97.2068,2,Tier 2,Supermarket Type1,FD,-45.134285
15.7,Regular,0.02777326,Canned,169.27900000000002,2,Tier 2,Supermarket Type1,FD,666.75195
6.635,Regular,0.006326106,Baking Goods,122.1098,0,Tier 1,Supermarket Type1,FD,-108.00443
19.75,Low Fat,0.143990546,Soft Drinks,191.553,0,Tier 1,Grocery Store,DR,-14.175525
17.1,Non-Edible,0.09233359,Household,250.6066,1,Tier 3,Supermarket Type3,NC,626.4032
10.5,Low Fat,0.083661793,Canned,248.6092,0,Tier 1,Grocery Store,FD,677.8618
14.0,Regular,0.042022999000000005,Snack Foods,53.06399999999999,1,Tier 1,Supermarket Type1,FD,-108.00443
11.847459893048129,Regular,0.072044336,Dairy,48.8692,1,Tier 3,Supermarket Type3,FD,-14.782046
17.75,Low Fat,0.0,Dairy,249.775,1,Tier 3,Supermarket Type2,FD,-1.6924334
17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,2,Tier 3,Grocery Store,FD,11.409352
8.155,Low Fat,0.119450639,Meat,190.653,0,Tier 1,Supermarket Type1,FD,-64.890816
17.25,Low Fat,0.121917641,Canned,76.6986,2,Tier 3,Grocery Store,FD,715.09125
12.987879554655919,Regular,0.131905128,Frozen Foods,232.0668,1,Tier 3,Supermarket Type3,FD,-22.342669
6.175,Regular,0.179043614,Meat,95.3752,0,Tier 2,Supermarket Type1,FD,-108.00443
7.5,Low Fat,0.015230200000000003,Hard Drinks,107.0938,1,Tier 3,Supermarket Type3,DR,-17.675705
8.18,Regular,0.082401592,Frozen Foods,55.9588,0,Tier 1,Supermarket Type1,FD,-108.00443
8.355,Low Fat,0.013917468,Baking Goods,92.5462,2,Tier 3,Supermarket Type1,FD,-37.608574
6.905,Regular,0.038140213,Dairy,96.3726,0,Tier 2,Supermarket Type1,FD,-108.00443
20.35,Low Fat,0.054166556,Snack Foods,116.9466,2,Tier 2,Supermarket Type1,FD,-37.608574
13.0,Low Fat,0.03229139,Baking Goods,178.766,1,Tier 3,Supermarket Type3,FD,-10.174335
19.25,Non-Edible,0.108641498,Household,33.0558,2,Tier 2,Supermarket Type1,NC,589.739
5.48,Low Fat,0.015105338000000001,Frozen Foods,84.625,0,Tier 2,Supermarket Type1,FD,-64.890816
5.425,Regular,0.114650377,Baking Goods,87.3514,1,Tier 1,Supermarket Type1,FD,-108.00443
12.1,Low Fat,0.11534200900000001,Baking Goods,220.2114,1,Tier 3,Supermarket Type2,FD,-9.253067
17.7,Regular,0.0,Baking Goods,186.424,1,Tier 3,Supermarket Type3,FD,-22.342669
11.0,Low Fat,0.00896468,Meat,120.6756,2,Tier 2,Supermarket Type1,FD,-37.608574
5.765,Low Fat,0.082346376,Baking Goods,38.8164,1,Tier 3,Supermarket Type2,FD,-9.253067
13.8,Low Fat,0.013318,Canned,110.1254,1,Tier 3,Supermarket Type2,FD,678.7831
13.8,Low Fat,0.01325293,Canned,108.2254,2,Tier 3,Supermarket Type1,FD,648.098
5.44,Regular,0.017131453,Baking Goods,177.83700000000002,1,Tier 3,Supermarket Type2,FD,-23.91515
12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,2,Tier 3,Supermarket Type1,FD,-55.58394
6.13,Non-Edible,0.028316137,Household,109.3912,0,Tier 2,Supermarket Type1,NC,578.3331
8.195,Low Fat,0.052562923,Baking Goods,93.9462,2,Tier 3,Grocery Store,FD,29.38472
14.15,Low Fat,0.18379260000000003,Soft Drinks,81.3276,1,Tier 1,Supermarket Type1,DR,-62.24555
7.235,Low Fat,0.111296158,Frozen Foods,151.2708,0,Tier 1,Grocery Store,FD,-10.174335
16.75,Low Fat,0.029860799,Snack Foods,39.5822,1,Tier 3,Supermarket Type2,FD,-9.253067
14.3,Low Fat,0.130617879,Baking Goods,76.5328,1,Tier 1,Supermarket Type1,FD,-64.890816
9.3,Low Fat,0.238990225,Canned,94.7094,0,Tier 1,Grocery Store,FD,677.8618
5.635,Low Fat,0.103186396,Baking Goods,151.805,2,Tier 3,Supermarket Type1,FD,-37.608574
5.73,Low Fat,0.0,Soft Drinks,188.3898,2,Tier 3,Grocery Store,DR,26.25439
7.155,Regular,0.16818637600000003,Breads,36.5874,0,Tier 1,Supermarket Type1,FD,773.4229
15.2,Low Fat,0.050255855,Soft Drinks,97.3752,1,Tier 1,Supermarket Type1,DR,-62.24555
15.25,Non-Edible,0.061173235,Household,128.5968,0,Tier 2,Supermarket Type1,NC,578.3331
10.395,Regular,0.029881147,Dairy,89.5514,0,Tier 2,Supermarket Type1,FD,-108.00443
8.76,Non-Edible,0.05015421900000001,Health and Hygiene,126.9336,2,Tier 2,Supermarket Type1,NC,589.739
9.13,Non-Edible,0.05183762099999999,Household,152.6024,0,Tier 2,Supermarket Type1,NC,578.3331
17.6,Low Fat,0.11013617,Fruits and Vegetables,189.7846,1,Tier 3,Supermarket Type3,FD,-28.149696
19.6,Non-Edible,0.024086626,Household,106.0964,2,Tier 2,Supermarket Type1,NC,589.739
7.235,Non-Edible,0.013115567,Household,53.7614,1,Tier 3,Supermarket Type3,NC,626.4032
20.35,Low Fat,0.0,Snack Foods,118.9466,1,Tier 1,Supermarket Type1,FD,-64.890816
10.0,Low Fat,0.038764257999999996,Fruits and Vegetables,246.2144,2,Tier 2,Supermarket Type1,FD,-55.58394
11.3,Non-Edible,0.07986963,Household,180.46599999999998,2,Tier 3,Grocery Store,NC,653.6019
6.57,Low Fat,0.066057085,Hard Drinks,259.3278,0,Tier 2,Supermarket Type1,DR,-65.74574
13.15,Non-Edible,0.093044518,Household,158.4604,1,Tier 3,Supermarket Type2,NC,627.32446
4.635,Low Fat,0.140771867,Breads,129.4994,2,Tier 3,Supermarket Type1,FD,829.8961
10.6,Regular,0.033186809,Breakfast,49.1008,1,Tier 3,Supermarket Type2,FD,40.222954
9.3,Low Fat,0.11139344,Breads,65.2826,1,Tier 1,Supermarket Type1,FD,816.61115
7.02,Low Fat,0.049966527000000004,Dairy,82.525,2,Tier 2,Supermarket Type1,DR,-37.608574
13.8,Low Fat,0.09721299800000001,Dairy,58.293,1,Tier 1,Supermarket Type1,DR,-62.24555
7.825,Regular,0.150863781,Frozen Foods,158.0288,2,Tier 2,Supermarket Type1,FD,-45.134285
19.1,Non-Edible,0.09190040599999999,Others,182.5608,0,Tier 2,Supermarket Type1,NC,578.3331
7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101,2,Tier 3,Supermarket Type1,FD,-55.58394
8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292,0,Tier 1,Supermarket Type1,FD,-82.86618
17.35,Low Fat,0.014714625,Frozen Foods,75.4038,1,Tier 1,Supermarket Type1,FD,-64.890816
17.75,Low Fat,0.127140836,Baking Goods,110.5544,2,Tier 3,Grocery Store,FD,29.38472
15.2,Regular,0.061923154,Baking Goods,87.5514,1,Tier 3,Supermarket Type3,FD,-22.342669
16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,1,Tier 1,Supermarket Type1,FD,-82.86618
15.15,Low Fat,0.0,Baking Goods,150.4708,2,Tier 2,Supermarket Type1,FD,-37.608574
5.46,Regular,0.053858378,Canned,186.924,2,Tier 3,Grocery Store,FD,793.4928
9.5,Regular,0.048784266,Starchy Foods,188.5898,2,Tier 2,Supermarket Type1,FD,-77.08376
13.5,Non-Edible,0.073080167,Household,161.49200000000002,2,Tier 2,Supermarket Type1,NC,589.739
8.275,Non-Edible,0.184602443,Household,106.5306,2,Tier 3,Grocery Store,NC,653.6019
10.8,Regular,0.080582001,Baking Goods,39.4138,2,Tier 3,Grocery Store,FD,81.60658
5.635,Low Fat,0.103856487,Baking Goods,151.305,2,Tier 2,Supermarket Type1,FD,-37.608574
7.51,Low Fat,0.017500078999999998,Fruits and Vegetables,228.801,1,Tier 3,Supermarket Type2,FD,-27.228428
12.3,Low Fat,0.173275373,Baking Goods,127.6362,1,Tier 3,Supermarket Type3,FD,-10.174335
11.8,Low Fat,0.08339348099999999,Meat,180.6292,1,Tier 3,Supermarket Type3,FD,-10.174335
11.847459893048129,Regular,0.0450476,Baking Goods,36.4874,1,Tier 3,Supermarket Type3,FD,-22.342669
11.1,Low Fat,0.051816577,Soft Drinks,236.4564,1,Tier 3,Supermarket Type3,DR,-14.175525
15.5,Regular,0.026297031000000002,Fruits and Vegetables,102.7332,0,Tier 2,Supermarket Type1,FD,-125.97979
4.905,Low Fat,0.117808305,Canned,198.5768,1,Tier 3,Supermarket Type2,FD,678.7831
9.285,Regular,0.049270974,Frozen Foods,243.9144,0,Tier 2,Supermarket Type1,FD,-108.00443
8.97,Non-Edible,0.093540749,Household,55.4956,2,Tier 2,Supermarket Type1,NC,589.739
18.75,Non-Edible,0.08710582300000001,Health and Hygiene,108.228,2,Tier 3,Grocery Store,NC,653.6019
8.895,Non-Edible,0.0,Household,110.9544,1,Tier 1,Supermarket Type1,NC,578.3331
16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,0,Tier 2,Supermarket Type1,FD,-82.86618
10.195,Regular,0.01761655,Starchy Foods,239.4538,2,Tier 3,Supermarket Type1,FD,-77.08376
9.5,Low Fat,0.040898157000000004,Hard Drinks,225.2088,1,Tier 1,Supermarket Type1,DR,-65.74574
12.1,Non-Edible,0.07979117599999999,Household,169.5106,0,Tier 2,Supermarket Type1,NC,578.3331
12.5,Low Fat,0.031049674,Fruits and Vegetables,101.399,0,Tier 1,Supermarket Type1,FD,-82.86618
15.2,Low Fat,0.019112323,Snack Foods,236.2248,1,Tier 3,Supermarket Type2,FD,-9.253067
5.635,Low Fat,0.10327233599999999,Baking Goods,151.205,0,Tier 1,Supermarket Type1,FD,-64.890816
16.35,Regular,0.054001525999999994,Canned,227.8352,0,Tier 1,Grocery Store,FD,691.87317
8.895,Regular,0.081073148,Snack Foods,51.2008,0,Tier 2,Supermarket Type1,FD,-108.00443
10.5,Non-Edible,0.019774239,Household,154.5972,1,Tier 3,Supermarket Type3,NC,626.4032
19.0,Regular,0.153038134,Fruits and Vegetables,219.0456,0,Tier 1,Grocery Store,FD,-40.318035
6.89,Regular,0.13720009,Snack Foods,191.882,2,Tier 2,Supermarket Type1,FD,-45.134285
16.25,Low Fat,0.02573698,Fruits and Vegetables,169.3474,0,Tier 1,Supermarket Type1,FD,-82.86618
12.305705009276451,Low Fat,0.07035480599999999,Frozen Foods,53.9298,0,Tier 1,Grocery Store,FD,-10.174335
18.75,Regular,0.047028482999999996,Snack Foods,118.3782,1,Tier 3,Supermarket Type3,FD,-22.342669
13.85,Low Fat,0.030857537999999997,Soft Drinks,140.6154,2,Tier 2,Supermarket Type1,DR,-37.608574
16.75,Low Fat,0.045302246,Snack Foods,189.1556,2,Tier 2,Supermarket Type1,FD,-37.608574
18.0,Low Fat,0.073341257,Canned,155.7972,2,Tier 2,Supermarket Type1,FD,648.098
9.21,Low Fat,0.00880049,Fruits and Vegetables,123.0414,1,Tier 3,Supermarket Type2,FD,-27.228428
20.85,Low Fat,0.039562497,Meat,118.1808,0,Tier 1,Supermarket Type1,FD,-64.890816
10.0,Low Fat,0.038745947999999995,Fruits and Vegetables,245.0144,1,Tier 1,Supermarket Type1,FD,-82.86618
5.48,Low Fat,0.015193653,Frozen Foods,82.825,2,Tier 2,Supermarket Type1,FD,-37.608574
19.25,Regular,0.027075481000000002,Meat,195.611,0,Tier 2,Supermarket Type1,FD,-108.00443
18.5,Low Fat,0.052068722000000005,Snack Foods,117.0124,0,Tier 1,Supermarket Type1,FD,-64.890816
9.5,Regular,0.11401030599999999,Canned,112.2202,1,Tier 3,Supermarket Type3,FD,691.87317
13.8,Non-Edible,0.111641021,Household,38.8848,0,Tier 1,Grocery Store,NC,626.4032
15.7,Regular,0.008771522,Meat,205.798,1,Tier 3,Supermarket Type2,FD,-23.91515
20.25,Regular,0.10330496800000001,Canned,92.61200000000001,2,Tier 2,Supermarket Type1,FD,666.75195
10.8,Low Fat,0.028919202999999997,Snack Foods,240.9222,2,Tier 3,Supermarket Type1,FD,-37.608574
18.5,Non-Edible,0.034136703,Others,130.0284,2,Tier 2,Supermarket Type1,NC,589.739
6.11,Regular,0.045393469000000006,Meat,102.2674,0,Tier 1,Grocery Store,FD,-22.342669
13.65,Regular,0.047199898,Frozen Foods,244.9144,1,Tier 3,Supermarket Type3,FD,-22.342669
18.0,Low Fat,0.07319282,Canned,154.2972,0,Tier 1,Supermarket Type1,FD,623.1453
10.5,Non-Edible,0.011287928999999999,Household,238.9248,0,Tier 1,Supermarket Type1,NC,578.3331
4.88,Low Fat,0.036628533,Hard Drinks,145.6128,0,Tier 1,Grocery Store,DR,-17.675705
14.0,Regular,0.105057952,Frozen Foods,141.1812,2,Tier 3,Supermarket Type1,FD,-45.134285
15.6,Regular,0.0,Snack Foods,169.2132,0,Tier 1,Supermarket Type1,FD,-108.00443
11.6,Low Fat,0.017741643999999997,Canned,178.3686,0,Tier 2,Supermarket Type1,FD,623.1453
16.25,Non-Edible,0.039225552999999996,Household,116.2176,2,Tier 2,Supermarket Type1,NC,589.739
20.5,Low Fat,0.14176602900000002,Starchy Foods,87.4172,0,Tier 2,Supermarket Type1,FD,57.7252
5.035,Regular,0.08023606400000001,Breads,226.4036,1,Tier 3,Supermarket Type2,FD,841.6892
17.6,Non-Edible,0.082332074,Health and Hygiene,160.392,0,Tier 1,Supermarket Type1,NC,578.3331
9.0,Low Fat,0.136085739,Snack Foods,259.8962,0,Tier 1,Grocery Store,FD,-10.174335
8.68,Low Fat,0.008885671999999999,Frozen Foods,96.9384,2,Tier 2,Supermarket Type1,FD,-37.608574
17.5,Low Fat,0.0,Snack Foods,255.2356,2,Tier 3,Supermarket Type1,FD,-37.608574
7.435,Low Fat,0.14135594099999998,Starchy Foods,168.5158,2,Tier 3,Grocery Store,FD,199.54228
8.71,Low Fat,0.12122744699999999,Canned,95.2778,0,Tier 2,Supermarket Type1,FD,623.1453
5.34,Regular,0.005975976,Snack Foods,100.8358,2,Tier 2,Supermarket Type1,FD,-45.134285
10.695,Regular,0.011425458000000001,Snack Foods,73.6038,0,Tier 1,Supermarket Type1,FD,-108.00443
14.8,Regular,0.043961689000000005,Breads,109.15700000000001,1,Tier 1,Supermarket Type1,FD,773.4229
18.0,Non-Edible,0.01949589,Health and Hygiene,127.8994,2,Tier 2,Supermarket Type1,NC,589.739
12.15,Non-Edible,0.029523375,Household,117.215,0,Tier 1,Supermarket Type1,NC,578.3331
12.987879554655919,Regular,0.062751586,Frozen Foods,244.2486,0,Tier 1,Grocery Store,FD,-22.342669
21.2,Regular,0.0,Starchy Foods,173.0738,2,Tier 2,Supermarket Type1,FD,-77.08376
8.3,Low Fat,0.059175952999999996,Fruits and Vegetables,37.8506,2,Tier 3,Grocery Store,FD,11.409352
9.06,Non-Edible,0.009831566,Others,211.15599999999998,2,Tier 2,Supermarket Type1,NC,589.739
5.095,Regular,0.21676258399999998,Snack Foods,142.2838,2,Tier 3,Grocery Store,FD,81.60658
11.15,Low Fat,0.057254675,Baking Goods,104.0622,2,Tier 2,Supermarket Type1,FD,-37.608574
5.34,Regular,0.0,Snack Foods,101.0358,2,Tier 3,Grocery Store,FD,81.60658
19.75,Low Fat,0.041598912,Fruits and Vegetables,118.0466,2,Tier 2,Supermarket Type1,FD,-55.58394
19.6,Low Fat,0.024206741,Dairy,47.0718,2,Tier 3,Supermarket Type1,DR,-37.608574
10.695,Non-Edible,0.063862271,Household,38.1848,1,Tier 1,Supermarket Type1,NC,578.3331
9.42,Regular,0.073484791,Frozen Foods,63.6194,2,Tier 3,Grocery Store,FD,81.60658
13.5,Regular,0.125983278,Snack Foods,264.691,2,Tier 2,Supermarket Type1,FD,-45.134285
19.35,Regular,0.058161092000000005,Fruits and Vegetables,239.4564,2,Tier 2,Supermarket Type1,FD,-63.109657
9.0,Low Fat,0.10921389999999999,Snack Foods,175.037,2,Tier 3,Grocery Store,FD,29.38472
7.785,Regular,0.138195491,Frozen Foods,83.1276,0,Tier 1,Grocery Store,FD,-22.342669
20.75,Low Fat,0.007595816,Snack Foods,104.4622,2,Tier 2,Supermarket Type1,FD,-37.608574
15.0,Low Fat,0.11956313,Snack Foods,227.2694,2,Tier 2,Supermarket Type1,FD,-37.608574
17.85,Non-Edible,0.018020588,Health and Hygiene,94.4094,0,Tier 2,Supermarket Type1,NC,578.3331
7.81,Low Fat,0.067442541,Soft Drinks,244.7486,0,Tier 2,Supermarket Type1,DR,-62.24555
8.645,Regular,0.008239804,Dairy,152.2708,1,Tier 3,Supermarket Type3,FD,-14.782046
12.1,Low Fat,0.030127406000000002,Canned,74.567,0,Tier 1,Supermarket Type1,FD,623.1453
17.6,Regular,0.016014343,Breads,44.0402,2,Tier 3,Supermarket Type1,FD,822.2957
